task,metric,point_estimate,bootstrap_mean,ci_95_low,ci_95_high
multiclass,accuracy,0.3648871766648321,0.3646670335718218,0.34171711612548156,0.3877682993946065
multiclass,balanced_accuracy,0.3658243745983451,0.3644683431946879,0.3382626488714124,0.3944054191221543
multiclass,macro_f1,0.27286282314920324,0.271046044951982,0.2521761635535948,0.28706189361605494
multiclass,macro_precision,0.4115691948544858,0.4089275723593456,0.3906925596983427,0.43303646331449963
multiclass,macro_recall,0.365824374598345,0.3644683431946879,0.3382626488714124,0.3944054191221543
binary_damage_vs_not_damage,accuracy,0.5321959273527793,0.5329499174463401,0.5093423225096313,0.5542652724270776
binary_damage_vs_not_damage,balanced_accuracy,0.6989238589660394,0.6985319186061869,0.6804865113719328,0.7156693147860607
binary_damage_vs_not_damage,f1_damage,0.6248896734333628,0.6259023377071068,0.6042999478921536,0.6472305357333049
binary_damage_vs_not_damage,precision_damage,0.976551724137931,0.9759276569589604,0.9656738741285096,0.9865327520126167
binary_damage_vs_not_damage,recall_damage_sensitivity,0.45944192083062946,0.46079643953380134,0.4380143704072569,0.4837350923357267
