,damage,crack,mold,wear,asbestos,no_damage
damage,142,44,32,163,107,47
crack,0,422,3,64,103,15
mold,0,1,46,120,1,9
wear,3,1,10,21,0,0
asbestos,0,4,0,16,173,5
no_damage,3,4,0,97,63,109
