,damage,crack,mold,wear,asbestos,no_damage
damage,0,0,0,0,0,535
crack,0,0,0,0,0,607
mold,0,0,0,0,0,177
wear,0,0,0,0,0,35
asbestos,0,0,0,0,0,198
no_damage,0,0,0,0,0,276
