epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3033.14,1.13484,1.21327,1.38441,0.65198,0.50782,0.55505,0.32546,1.55521,1.56218,1.61427,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
33,3127.56,1.1227,1.19021,1.38063,0.6284,0.53289,0.55735,0.3303,1.52009,1.55667,1.60464,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
34,3221.82,1.11704,1.17374,1.36811,0.59363,0.5121,0.52494,0.31244,1.53684,1.61729,1.59596,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
35,3316.13,1.10243,1.14933,1.35275,0.65153,0.52174,0.57058,0.34295,1.50393,1.50351,1.58463,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
36,3410.39,1.09172,1.13109,1.35053,0.64936,0.50963,0.54745,0.33137,1.50993,1.52557,1.60768,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
37,3504.55,1.08566,1.10907,1.33743,0.63988,0.53628,0.56698,0.33943,1.52647,1.52453,1.59273,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
38,3598.58,1.07895,1.09118,1.3434,0.63027,0.52184,0.5611,0.3381,1.52741,1.53963,1.5984,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
39,3692.74,1.06509,1.08204,1.33074,0.66558,0.52637,0.56329,0.34136,1.50517,1.51449,1.58647,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
40,3786.92,1.04022,1.04976,1.31664,0.64596,0.52696,0.5624,0.3399,1.51755,1.53114,1.60147,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
41,3881.06,1.05046,1.04723,1.31889,0.61799,0.54694,0.56332,0.34421,1.51556,1.5173,1.59097,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
42,3975.19,1.0303,1.02399,1.30973,0.63441,0.55081,0.56748,0.34254,1.51755,1.51685,1.61229,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
