epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3205.73,1.10022,1.17653,1.34594,0.59569,0.49268,0.5299,0.31238,1.3947,1.25785,1.45501,0.000509727,0.000509727,0.000509727
43,3281.42,1.08449,1.14876,1.33212,0.57639,0.49012,0.5267,0.31402,1.37424,1.24509,1.44544,0.000495062,0.000495062,0.000495062
44,3357.36,1.07578,1.14951,1.3295,0.5706,0.52443,0.5239,0.3077,1.38021,1.23478,1.42724,0.000480396,0.000480396,0.000480396
45,3433.38,1.07222,1.1314,1.3295,0.56598,0.50741,0.52377,0.31519,1.37034,1.20139,1.4412,0.000465731,0.000465731,0.000465731
46,3509.14,1.06474,1.12434,1.3186,0.57879,0.48457,0.52956,0.32379,1.35556,1.19979,1.40615,0.000451066,0.000451066,0.000451066
47,3585.04,1.06032,1.12996,1.32182,0.65413,0.51652,0.54492,0.32295,1.3617,1.18111,1.4373,0.000436401,0.000436401,0.000436401
48,3660.62,1.05064,1.09959,1.31707,0.60858,0.53333,0.55679,0.32709,1.35466,1.18604,1.42712,0.000421736,0.000421736,0.000421736
49,85.6527,1.04405,1.0867,1.29584,0.62417,0.51973,0.54613,0.32012,1.3558,1.20683,1.43193,0.00040707,0.00040707,0.00040707
50,160.794,1.02991,1.08141,1.30427,0.58987,0.51561,0.54654,0.32797,1.35798,1.20022,1.42763,0.000392405,0.000392405,0.000392405
51,236.15,1.03211,1.06017,1.29934,0.65725,0.50717,0.55723,0.32175,1.36099,1.19584,1.43389,0.00037774,0.00037774,0.00037774
52,311.409,1.01695,1.0548,1.29079,0.64645,0.53013,0.55259,0.33087,1.34289,1.16576,1.42713,0.000363075,0.000363075,0.000363075
53,387.21,1.01451,1.03748,1.28603,0.62862,0.52013,0.54899,0.33262,1.34931,1.1648,1.41632,0.00034841,0.00034841,0.00034841
54,462.787,1.00505,1.02428,1.27558,0.62621,0.51119,0.54925,0.33285,1.3591,1.1675,1.4324,0.000333744,0.000333744,0.000333744
55,538.233,0.99352,1.02492,1.27996,0.60841,0.55494,0.55884,0.33475,1.34178,1.15746,1.4124,0.000319079,0.000319079,0.000319079
56,613.737,0.98127,1.00369,1.26958,0.60131,0.48307,0.53226,0.33201,1.33158,1.17015,1.40758,0.000304414,0.000304414,0.000304414
57,689.212,0.96978,0.98711,1.2612,0.63672,0.50191,0.55282,0.33508,1.33894,1.15535,1.40288,0.000289749,0.000289749,0.000289749
58,764.919,0.97881,0.98238,1.26303,0.60539,0.51063,0.53262,0.32809,1.33874,1.15408,1.41471,0.000275084,0.000275084,0.000275084
59,840.793,0.96495,0.9667,1.26081,0.58733,0.52749,0.53039,0.32902,1.33685,1.13465,1.40862,0.000260418,0.000260418,0.000260418
60,916.114,0.95842,0.96409,1.25221,0.63996,0.51039,0.552,0.33231,1.34317,1.15152,1.42108,0.000245753,0.000245753,0.000245753
61,991.307,0.9507,0.95359,1.25024,0.63008,0.53453,0.55895,0.33832,1.3426,1.14298,1.41939,0.000231088,0.000231088,0.000231088
62,1067.04,0.95069,0.94532,1.24749,0.65767,0.50869,0.55702,0.33491,1.33499,1.14345,1.40985,0.000216423,0.000216423,0.000216423
63,1142.57,0.94006,0.92,1.2387,0.59895,0.50754,0.5562,0.33524,1.32975,1.12877,1.41138,0.000201758,0.000201758,0.000201758
64,1218,0.92343,0.9121,1.23076,0.65074,0.52075,0.55929,0.33451,1.3259,1.13059,1.41119,0.000187092,0.000187092,0.000187092
65,1293.86,0.91936,0.91052,1.23091,0.61489,0.5295,0.55448,0.33363,1.32754,1.1447,1.41717,0.000172427,0.000172427,0.000172427
66,1373.05,1.0071,0.80122,1.22212,0.68538,0.51356,0.57415,0.34094,1.33304,1.12895,1.42272,0.000157762,0.000157762,0.000157762
67,1449.01,0.9795,0.76235,1.19471,0.70448,0.51527,0.57567,0.34699,1.3245,1.11705,1.41886,0.000143097,0.000143097,0.000143097
68,1525.08,0.96743,0.73925,1.19015,0.69562,0.50975,0.56352,0.34065,1.32129,1.10943,1.41452,0.000128432,0.000128432,0.000128432
69,1600.81,0.95378,0.72823,1.17621,0.69865,0.50704,0.56924,0.34215,1.3123,1.10831,1.41005,0.000113766,0.000113766,0.000113766
70,1676.55,0.94896,0.71502,1.17617,0.65061,0.51502,0.56293,0.34079,1.30756,1.10713,1.40659,9.91012e-05,9.91012e-05,9.91012e-05
71,1752.29,0.93304,0.69862,1.16766,0.6753,0.51218,0.55963,0.34001,1.30616,1.11281,1.40389,8.4436e-05,8.4436e-05,8.4436e-05
72,1827.99,0.93809,0.69508,1.17276,0.6356,0.51859,0.55672,0.33825,1.31037,1.12886,1.40706,6.97708e-05,6.97708e-05,6.97708e-05
73,1903.7,0.92171,0.68112,1.15384,0.64826,0.51242,0.55464,0.34019,1.31145,1.12379,1.40805,5.51056e-05,5.51056e-05,5.51056e-05
74,1979.36,0.91116,0.67505,1.15518,0.65773,0.51289,0.55415,0.34263,1.30801,1.12306,1.40421,4.04404e-05,4.04404e-05,4.04404e-05
75,2055.03,0.90937,0.66395,1.14817,0.65676,0.51813,0.55616,0.34245,1.30331,1.11892,1.40147,2.57752e-05,2.57752e-05,2.57752e-05
