task,metric,point_estimate,bootstrap_mean,ci_95_low,ci_95_high
multiclass,accuracy,0.4212,0.4214,0.3999,0.4442
multiclass,balanced_accuracy,0.4359,0.4364,0.4034,0.471
multiclass,macro_f1,0.3788,0.3787,0.3568,0.4015
multiclass,macro_precision,0.5556,0.5558,0.5296,0.581
multiclass,macro_recall,0.4359,0.4364,0.4034,0.471
binary,accuracy,0.8682,0.868,0.8523,0.8835
binary,balanced_accuracy,0.6126,0.6131,0.5875,0.6409
binary,f1_damage,0.9265,0.9264,0.9168,0.9357
binary,precision_damage,0.8796,0.8794,0.8629,0.8955
binary,recall_damage_sensitivity,0.9787,0.9787,0.9711,0.9859
