,damage,crack,mold,wear,asbestos,no_damage
damage,160,29,26,147,152,21
crack,0,335,2,168,98,4
mold,3,0,43,38,86,7
wear,3,0,9,19,4,0
asbestos,1,5,0,46,145,1
no_damage,2,8,0,105,93,68
