epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1548.73,1.12238,1.10002,1.18637,0.38253,0.30592,0.33892,0.2172,1.56613,3.0262,1.60726,0.000509727,0.000509727,0.000509727
43,1584.92,1.10622,1.08153,1.18181,0.38112,0.3208,0.34627,0.22733,1.58343,2.95405,1.64246,0.000495062,0.000495062,0.000495062
44,1621.71,1.09395,1.0702,1.17532,0.38105,0.3206,0.34526,0.22784,1.56991,2.88099,1.61503,0.000480396,0.000480396,0.000480396
45,1657.75,1.09144,1.07836,1.17591,0.39568,0.31401,0.34758,0.22752,1.57297,2.93174,1.61352,0.000465731,0.000465731,0.000465731
46,1694.02,1.08577,1.05153,1.16477,0.38916,0.31595,0.34577,0.2272,1.59521,3.00214,1.6235,0.000451066,0.000451066,0.000451066
47,1730.02,1.07196,1.04327,1.16372,0.38651,0.3267,0.35089,0.23027,1.56677,2.88112,1.6166,0.000436401,0.000436401,0.000436401
48,1766.96,1.07677,1.04092,1.15968,0.38013,0.33113,0.34761,0.2281,1.58525,3.06488,1.62052,0.000421736,0.000421736,0.000421736
49,1803.06,1.07782,1.03382,1.15905,0.38791,0.32933,0.35252,0.23388,1.56735,3.01152,1.6088,0.00040707,0.00040707,0.00040707
50,1838.93,1.06408,1.01999,1.15565,0.3836,0.32195,0.34737,0.23023,1.56903,2.98162,1.62816,0.000392405,0.000392405,0.000392405
51,1875.22,1.04184,1.00862,1.15426,0.38773,0.31666,0.34477,0.22674,1.56969,2.95017,1.614,0.00037774,0.00037774,0.00037774
52,1911.71,1.04167,0.99419,1.14749,0.37374,0.34278,0.35472,0.23364,1.59395,3.01446,1.63794,0.000363075,0.000363075,0.000363075
53,1947.78,1.03171,1.00109,1.14492,0.37743,0.32554,0.34466,0.22832,1.62522,3.04429,1.66054,0.00034841,0.00034841,0.00034841
54,1984.11,1.03771,0.98504,1.14547,0.37273,0.33974,0.34875,0.23149,1.61799,2.98025,1.65036,0.000333744,0.000333744,0.000333744
55,2020,1.02223,0.96301,1.13655,0.38869,0.32773,0.346,0.23289,1.56505,2.96293,1.6007,0.000319079,0.000319079,0.000319079
56,2056.37,1.02435,0.97718,1.1456,0.3911,0.32714,0.34828,0.23255,1.58247,3.01227,1.6282,0.000304414,0.000304414,0.000304414
57,2092.25,1.02451,0.96719,1.13946,0.40877,0.32159,0.34981,0.23347,1.56046,2.98909,1.62338,0.000289749,0.000289749,0.000289749
58,2128.83,1.00365,0.94634,1.12038,0.38378,0.3359,0.34751,0.23152,1.56595,3.04385,1.63078,0.000275084,0.000275084,0.000275084
59,2165.05,0.99729,0.95164,1.12472,0.38503,0.34059,0.35627,0.23848,1.5493,2.92255,1.61226,0.000260418,0.000260418,0.000260418
60,2201.02,0.99144,0.93292,1.11593,0.3923,0.33855,0.35144,0.23726,1.56805,3.01658,1.63603,0.000245753,0.000245753,0.000245753
61,2237.44,0.9933,0.91911,1.12177,0.40435,0.33483,0.35715,0.24027,1.55389,2.94615,1.61929,0.000231088,0.000231088,0.000231088
62,2274.22,0.98346,0.92537,1.121,0.39761,0.33953,0.35649,0.23875,1.57989,2.94214,1.63391,0.000216423,0.000216423,0.000216423
63,2310.75,0.97752,0.91099,1.11249,0.38411,0.34153,0.35149,0.23483,1.62026,2.98183,1.65901,0.000201758,0.000201758,0.000201758
64,2347.01,0.96832,0.89598,1.10554,0.40609,0.32918,0.35611,0.23909,1.57245,2.96975,1.62992,0.000187092,0.000187092,0.000187092
65,2383.54,0.9636,0.88838,1.10544,0.41196,0.3274,0.35588,0.24031,1.56383,2.9877,1.6282,0.000172427,0.000172427,0.000172427
66,2423.34,0.95252,0.74166,1.11213,0.40208,0.32984,0.3515,0.23644,1.61922,3.06049,1.6669,0.000157762,0.000157762,0.000157762
67,2459.31,0.93249,0.70709,1.10301,0.39952,0.32787,0.35085,0.23759,1.58826,3.05027,1.64833,0.000143097,0.000143097,0.000143097
68,2494.98,0.92604,0.68911,1.08945,0.39641,0.33951,0.35737,0.24386,1.55565,3.01655,1.61277,0.000128432,0.000128432,0.000128432
69,2530.82,0.90402,0.66956,1.07849,0.40658,0.33627,0.35829,0.24505,1.55853,3.0986,1.6294,0.000113766,0.000113766,0.000113766
70,2566.66,0.89782,0.65885,1.07515,0.39167,0.33467,0.35434,0.24184,1.58749,3.07854,1.65994,9.91012e-05,9.91012e-05,9.91012e-05
71,2602.35,0.8863,0.6448,1.07333,0.39443,0.33816,0.35384,0.24144,1.58258,3.10875,1.66226,8.4436e-05,8.4436e-05,8.4436e-05
72,2638.07,0.88337,0.64352,1.07817,0.39395,0.34073,0.35848,0.24463,1.59738,3.10733,1.6722,6.97708e-05,6.97708e-05,6.97708e-05
73,2673.72,0.87695,0.64043,1.06985,0.39264,0.34523,0.35932,0.24666,1.59214,3.07364,1.66184,5.51056e-05,5.51056e-05,5.51056e-05
74,2709.48,0.86871,0.62907,1.06879,0.40808,0.33447,0.35852,0.24547,1.60772,3.13876,1.68036,4.04404e-05,4.04404e-05,4.04404e-05
75,2745.38,0.85685,0.61913,1.05973,0.40927,0.33129,0.35866,0.24691,1.61244,3.11163,1.69019,2.57752e-05,2.57752e-05,2.57752e-05
