,damage,crack,mold,wear,asbestos,no_damage
damage,0,10,0,0,0,0
crack,0,0,1,0,0,0
mold,0,0,4,0,0,0
wear,0,0,1,1,0,0
asbestos,0,0,0,0,0,0
no_damage,0,5,0,0,5,0
