,damage,crack,mold,wear,asbestos,no_damage
damage,153,27,32,188,0,135
crack,0,420,3,136,0,48
mold,0,0,46,121,0,10
wear,3,0,10,22,0,0
asbestos,0,0,0,20,0,178
no_damage,4,0,0,109,1,162
